t2lag	color_T1	color_T2	congruence	PosT1	PosT2	trialNo	R1	R2	correct1	correct2
4	yellow	green	0	4	8	1	green	red	0	0
7	yellow	green	1	8	15	2	red	yellow	0	0
4	yellow	red	1	5	9	3	green	yellow	0	0
5	blue	red	0	8	13	4	red	yellow	0	0
7	yellow	green	0	9	16	5			0	0
3	red	yellow	1	4	7	6			0	0
5	blue	green	1	9	14	7			0	0
6	red	blue	1	7	13	8			0	0
4	yellow	green	0	9	13	9			0	0
8	yellow	red	0	7	15	10			0	0
1	green	red	0	4	5	11			0	0
5	green	yellow	1	5	10	12			0	0
6	green	blue	1	6	12	13			0	0
1	green	yellow	1	6	7	14			0	0
7	yellow	blue	0	9	16	15			0	0
1	yellow	blue	0	7	8	16			0	0
6	blue	yellow	1	8	14	17			0	0
6	green	blue	1	7	13	18			0	0
1	yellow	red	1	8	9	19			0	0
7	yellow	red	1	5	12	20			0	0
3	blue	green	1	9	12	21			0	0
7	yellow	red	0	5	12	22			0	0
6	blue	yellow	0	9	15	23			0	0
6	green	blue	0	5	11	24			0	0
4	yellow	blue	0	5	9	25			0	0
3	red	green	0	6	9	26			0	0
3	yellow	green	1	7	10	27			0	0
2	green	red	0	5	7	28			0	0
8	green	yellow	1	7	15	29			0	0
6	red	yellow	1	8	14	30			0	0
5	blue	green	0	5	10	31			0	0
5	green	red	1	8	13	32			0	0
6	yellow	red	1	6	12	33			0	0
2	blue	green	0	5	7	34			0	0
5	yellow	red	0	4	9	35			0	0
4	red	green	1	8	12	36			0	0
8	yellow	blue	0	9	17	37			0	0
8	green	red	1	5	13	38			0	0
2	yellow	blue	0	8	10	39			0	0
8	green	blue	0	4	12	40			0	0
6	blue	yellow	0	6	12	41			0	0
3	blue	green	1	6	9	42			0	0
6	yellow	blue	0	7	13	43			0	0
6	green	yellow	1	9	15	44			0	0
6	yellow	red	1	9	15	45			0	0
8	green	red	0	8	16	46			0	0
8	green	blue	1	5	13	47			0	0
2	red	blue	1	8	10	48			0	0
5	blue	red	0	9	14	49			0	0
7	green	red	1	4	11	50			0	0
